country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs,offsetabs
KE,NI,13586.507,14.2946,1.6094,1.1838,-696.0223,696.0223,1.1838
NO,LK,8281.6713,14.2965,1.6094,1.1819,66977.0826,66977.0826,1.1819
CL,ID,15921.0248,16.7305,1.9459,-1.1818,10222.6312,10222.6312,1.1818
RS,PE,11195.8626,14.3971,2.0794,1.1795,-697.356,697.356,1.1795
HU,DO,8468.1073,14.1926,1.0986,1.1791,5942.6239,5942.6239,1.1791
EG,LA,7267.7596,16.3205,0,-1.1784,1161.3372,1161.3372,1.1784
ME,KE,5099.2482,13.9645,0,1.1775,5245.6403,5245.6403,1.1775
CH,ZW,7615.4263,14.662,3.3322,1.1765,77804.0534,77804.0534,1.1765
DE,MZ,8141.143,17.3979,5.1705,-1.1752,41553.9892,41553.9892,1.1752
IT,CG,4692.7436,16.4621,0.69315,-1.1752,28999.0234,28999.0234,1.1752
PL,AM,2375.2303,16.7948,2.3026,-1.1715,8766.265,8766.265,1.1715
MM,JO,5966.245,16.458,0.69315,-1.1711,-2812.9199,2812.9199,1.1711
HU,AZ,2374.392,16.6488,1.6094,-1.1703,8787.911,8787.911,1.1703
FI,NG,6037.9458,17.1489,4.0073,-1.1694,40912.2623,40912.2623,1.1694
IL,SL,5433.86,14.5768,2.8904,1.1694,36796.5628,36796.5628,1.1694
IT,TG,3872.8636,17.2408,4.4543,-1.1678,29948.8065,29948.8065,1.1678
LV,NG,5490.8273,16.3082,0,-1.1662,11940.0787,11940.0787,1.1662
GN,GE,6266.3318,13.976,0,1.166,-3345.5048,3345.5048,1.166
DE,ZM,7345.8933,17.0509,3.5553,-1.1658,40757.6707,40757.6707,1.1658
PH,LR,14212.8268,14.6741,3.3322,1.1644,2495.7012,2495.7012,1.1644
LA,RW,8270.6366,13.9789,0,1.1632,1650.3173,1650.3173,1.1632
AT,SL,5002.6714,14.7653,3.7612,1.1629,43680.4658,43680.4658,1.1629
NL,KG,5226.4714,15.1478,5.591,1.1628,44217.7438,44217.7438,1.1628
NO,UG,6878.8126,15.339,6.5013,1.1618,70197.1686,70197.1686,1.1618
CO,IQ,12268.7704,16.3025,0,-1.1604,1196.0046,1196.0046,1.1604
SE,IQ,3502.9912,17.2175,4.382,-1.1596,46990.2682,46990.2682,1.1596
PT,CL,10570.8433,14.3192,1.6094,1.1592,6020.3822,6020.3822,1.1592
JM,GH,8290.046,13.9832,0,1.1588,3354.7872,3354.7872,1.1588
MN,VN,3670.8999,16.8517,2.6391,-1.1581,1500.7614,1500.7614,1.1581
IR,TG,6032.7835,16.6356,1.6094,-1.1572,4379.1183,4379.1183,1.1572
TR,LA,6698.3546,16.2985,0,-1.1564,8434.4565,8434.4565,1.1564
TW,ML,12482.9242,14.8156,3.9703,1.1563,21817.4929,21817.4929,1.1563
KG,SN,8887.8595,13.9867,0,1.1553,118.9624,118.9624,1.1553
PA,SN,7235.1964,13.9875,0,1.1545,12722.1623,12722.1623,1.1545
DK,IQ,3653.9358,16.5862,1.3863,-1.1544,48808.0636,48808.0636,1.1544
CL,EC,3825.133,16.814,2.4849,-1.1527,7823.9419,7823.9419,1.1527
CZ,GT,9754.2024,14.4257,2.0794,1.151,14119.8056,14119.8056,1.151
ZA,SN,6410.3042,16.8585,2.7081,-1.1505,4315.5201,4315.5201,1.1505
BE,LR,5068.2594,14.5276,2.5649,1.1505,40640.7866,40640.7866,1.1505
DK,MW,8065.964,14.2816,1.3863,1.1502,53116.8694,53116.8694,1.1502
BH,GH,5803.9448,13.9923,0,1.1498,20840.706,20840.706,1.1498
EE,JO,3229.0647,13.9927,0,1.1493,13486.7498,13486.7498,1.1493
US,SN,8276.9132,18.1017,8.667,-1.1483,56508.7134,56508.7134,1.1483
SA,TJ,2975.5087,17.2763,4.7185,-1.1481,19232.8043,19232.8043,1.1481
NZ,EG,16381.352,14.3303,1.6094,1.1481,35912.1334,35912.1334,1.1481
EC,BI,12003.1619,13.9952,0,1.1468,5683.2567,5683.2567,1.1468
GR,KE,4645.8953,16.9989,3.4012,-1.146,16648.6096,16648.6096,1.146
KR,KG,4574.8482,16.5164,1.0986,-1.1448,26461.77,26461.77,1.1448
NL,CD,6436.6687,17.2919,4.8122,-1.1441,44850.2747,44850.2747,1.1441
AF,ML,7268.4488,16.284,0,-1.1419,-218.7284,218.7284,1.1419
HU,LR,5300.5458,14.2932,1.3863,1.1386,12209.4767,12209.4767,1.1386
ES,MW,7144.8245,16.6164,1.6094,-1.138,26227.697,26227.697,1.138
KZ,LB,3017.0636,16.2788,0,-1.1368,-403.9275,403.9275,1.1368
UA,KH,7775.4533,16.278,0,-1.1359,915.8208,915.8208,1.1359
BE,GT,8985.4731,14.6617,3.1355,1.1357,36949.4132,36949.4132,1.1357
IE,JO,4361.8097,14.6794,3.2189,1.1354,57518.5454,57518.5454,1.1354
SK,SL,5350.743,14.1537,0.69315,1.1332,15999.9382,15999.9382,1.1332
BY,MX,10192.6885,16.2726,0,-1.1306,-3212.0516,3212.0516,1.1306
US,VC,4341.5459,14.4466,2.0794,1.1301,50436.73,50436.73,1.1301
NL,HT,7513.6489,15.0003,4.7274,1.1298,44555.1846,44555.1846,1.1298
TN,LB,2423.6991,16.2717,0,-1.1296,-4225.3583,4225.3583,1.1296
FR,PH,11107.1764,17.8413,7.5121,-1.1292,33903.8964,33903.8964,1.1292
SZ,PH,10672.7962,14.0129,0,1.1291,-175.918,175.918,1.1291
DE,LS,9149.6196,14.5931,2.7726,1.1284,40937.9242,40937.9242,1.1284
UY,MZ,9022.4335,14.0141,0,1.1279,14838.4967,14838.4967,1.1279
CA,MG,15297.8991,15.1662,5.5094,1.1273,41756.6091,41756.6091,1.1273
GB,AZ,4059.371,17.4761,5.7746,-1.1272,36022.452,36022.452,1.1272
PT,PE,8729.5835,15.2752,6.0259,1.1262,13767.6582,13767.6582,1.1262
TT,NI,2621.0052,14.016,0,1.1261,13225.7168,13225.7168,1.1261
AU,PK,9235.8721,17.8164,7.4091,-1.1259,48459.6266,48459.6266,1.1259
CM,SV,11014.1051,14.0192,0,1.1229,-3190.9359,3190.9359,1.1229
VE,TJ,13370.0517,14.249,1.0986,1.1227,8462.1561,8462.1561,1.1227
