country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs
JP,TL,5181.0824,15.6076,3.6889,0.30542,36792.4677,36792.4677
CH,VN,9616.8314,15.9428,5.2933,0.30558,76626.9604,76626.9604
MM,EC,17693.7417,14.8336,0,0.30846,-4693.9665,4693.9665
ML,TJ,7537,14.8333,0,0.30877,-15.3368,15.3368
TH,TG,10818.2147,15.3142,2.3026,0.30912,5329.4517,5329.4517
IL,SN,5330.2462,15.3494,2.4849,0.31196,36334.5385,36334.5385
HN,PH,15627.2026,15.165,1.6094,0.31341,-589.9143,589.9143
LU,US,7694.7494,14.9729,0.69315,0.31405,45364.5344,45364.5344
KR,CL,18276.0639,14.8263,0,0.31574,13745.8801,13745.8801
ID,NI,17515.9966,15.4707,3.091,0.31739,1418.9128,1418.9128
CH,LK,8044.8217,14.8245,0,0.31755,74977.2559,74977.2559
NO,CI,6001.1352,15.0519,1.0986,0.31977,69286.2802,69286.2802
BE,CO,8822.1039,15.7748,4.585,0.32553,35290.552,35290.552
IT,HN,9593.4304,15.6073,3.7842,0.32559,28166.1106,28166.1106
VN,HN,16391.0429,14.9611,0.69315,0.32581,-175.4673,175.4673
HU,RW,5552.9583,15.1491,1.6094,0.32935,11962.0118,11962.0118
RW,TJ,6201.5378,14.8113,0,0.33079,-93.0083,93.0083
GT,KE,14062.5824,15.2176,1.9459,0.33115,2691.3844,2691.3844
DK,AL,1848.5892,15.389,2.7726,0.3325,49270.768,49270.768
US,TJ,11465.1726,16.8823,9.9364,0.33649,56670.9432,56670.9432
SE,JO,3535.583,15.8292,4.9053,0.33801,47511.9313,47511.9313
DK,ZA,9737.8093,15.0331,1.0986,0.33854,48144.0704,48144.0704
KW,TJ,2425.0115,15.6105,3.8712,0.3406,28179.5561,28179.5561
ES,HN,8291.6975,15.6329,3.989,0.3428,24167.3342,24167.3342
QA,TJ,2406.2392,15.1705,1.7918,0.34598,58535.0161,58535.0161
EC,PH,17497.8162,15.5256,3.4965,0.34725,3017.9122,3017.9122
BE,PH,10725.1865,16.1372,6.4313,0.34898,38145.0854,38145.0854
CU,MM,15137.7159,14.7895,0,0.35253,6327.2424,6327.2424
NO,MM,7764.8897,15.3394,2.6391,0.35423,69537.4598,69537.4598
CY,TZ,4616.6158,14.931,0.69315,0.35593,22445.0079,22445.0079
RW,KH,8442.5335,14.7846,0,0.35747,-567.0716,567.0716
ZA,MD,8687.0363,14.7831,0,0.35897,3373.3924,3373.3924
MY,BF,11372.2958,15.3188,2.5649,0.3593,8852.8379,8852.8379
CL,YE,13705.3257,14.7825,0,0.35952,12802.5913,12802.5913
PE,LR,7471.8427,14.7809,0,0.36112,5590.2793,5590.2793
CL,PH,17150.3835,15.6546,4.1897,0.36303,10841.8541,10841.8541
KR,TL,4984.1112,14.7776,0,0.36444,25436.8061,25436.8061
CH,KE,5953.5115,16.2532,7.0665,0.36571,77357.2909,77357.2909
MY,TL,3008.3095,15.2907,2.4849,0.37066,7400.5684,7400.5684
KW,MW,4940.0734,14.9156,0.69315,0.37136,28674.6052,28674.6052
US,KG,11255.3805,16.5573,8.5547,0.37265,56389.7509,56389.7509
FI,YE,5460.4309,15.4416,3.2189,0.37323,42099.9127,42099.9127
AF,PE,15323.2168,15.3609,2.8332,0.3733,-5483.8713,5483.8713
TH,SL,12136.8663,15.0561,1.3863,0.37567,5411.864,5411.864
FR,LA,9182.5451,15.4948,3.4965,0.37799,34501.8154,34501.8154
AU,SO,10009.0871,15.0534,1.3863,0.3784,49493.6107,49493.6107
NL,PH,10587.2822,16.5683,8.6536,0.38232,42343.7081,42343.7081
FR,KH,9958.0743,16.1795,6.7946,0.3826,35585.061,35585.061
ZA,GE,8368.4266,14.9038,0.69315,0.38308,1419.944,1419.944
PT,JO,4123.7093,15.5632,3.8501,0.38356,15725.3707,15725.3707
GB,PA,8428.9105,15.1311,1.7918,0.38542,26219.1524,26219.1524
AU,IQ,11520.136,15.727,4.6444,0.38569,45318.2188,45318.2188
SE,BF,5577.8743,15.5964,4.0254,0.38694,50950.1384,50950.1384
DE,HN,9153.1623,16.0118,6.0137,0.38708,39574.901,39574.901
SA,GT,13457.1734,14.8991,0.69315,0.38777,15881.9041,15881.9041
CA,TZ,13521.1943,16.2161,7.0103,0.39107,41278.7342,41278.7342
CL,CR,5210.9547,14.9798,1.0986,0.39185,1968.2879,1968.2879
MX,AL,10703.6566,14.9792,1.0986,0.39245,4054.41,4054.41
