country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs
CN,IN,2983.7953,26.0465,0.69315,-10.7596,6413.793,6413.793
IN,PK,1452.8535,25.5207,3.6636,-9.613,241.195,241.195
IN,NP,1012.172,24.3466,0.69315,-9.0596,979.8554,979.8554
CN,MM,1744.2548,23.8999,0,-8.7578,6848.1633,6848.1633
IN,MM,1766.2522,23.8345,0,-8.6924,434.3703,434.3703
AF,PK,425.1011,24.3356,2.7081,-8.6276,-906.4142,906.4142
JP,CN,3046.758,23.6604,0,-8.5183,30771.2869,30771.2869
CN,TH,2245.5488,23.6586,0,-8.5166,2215.2674,2215.2674
IN,AF,1851.5497,23.3175,0,-8.1754,1147.6092,1147.6092
IN,ID,4484.9985,23.5675,1.6094,-8.0891,-1860.907,1860.907
LK,IN,1427.7779,23.346,0.69315,-8.059,2126.0069,2126.0069
CN,PK,3284.6103,23.9296,3.4965,-8.0568,6654.9879,6654.9879
CN,ID,4198.1248,23.7401,2.6391,-8.0465,4552.886,4552.886
IR,IN,2827.7535,23.3106,0.69315,-8.0237,3248.1921,3248.1921
CN,VN,2458.3995,23.7747,3.1355,-7.9774,5937.4906,5937.4906
CN,NP,2059.1673,22.9665,0,-7.8244,7393.6484,7393.6484
TH,IN,2382.9228,23.4995,3.2189,-7.6847,4198.5255,4198.5255
IN,VN,3190.2909,23.2132,2.0794,-7.6366,-476.3024,476.3024
RU,IN,4985.6672,22.7631,0.69315,-7.4762,7038.9766,7038.9766
CN,PH,3102.7465,23.4176,5.0689,-7.2162,5172.1089,5172.1089
BD,PK,2205.8206,22.5905,1.6094,-7.1121,-109.4132,109.4132
IR,PK,1502.0068,22.6511,1.9459,-7.1024,3489.3871,3489.3871
TH,MM,855.5833,22.3277,0.69315,-7.0408,4632.8958,4632.8958
VN,KH,392.4089,22.9734,3.7842,-7.0405,915.783,915.783
TH,VN,807.9891,23.0034,4.0604,-7.0128,3722.2231,3722.2231
ID,VN,1764.1085,22.7746,2.9957,-7.0064,1384.6046,1384.6046
NG,BJ,698.4929,22.1451,0,-7.003,1388.5448,1388.5448
IN,EG,4923.5602,22.3771,1.3863,-6.9453,-1805.1022,1805.1022
TZ,KE,780.9956,22.2083,1.0986,-6.8367,-576.166,576.166
EG,TR,1411.967,22.0626,0.69315,-6.7756,-7273.1192,7273.1192
GH,NG,1073.9366,22.2381,1.6094,-6.7597,-664.5241,664.5241
BD,VN,2164.926,21.8936,0,-6.7515,-826.9105,826.9105
ID,PH,1749.4105,22.8997,4.8828,-6.7372,619.223,619.223
KE,UG,643.4325,22.3036,2.0794,-6.7269,840.051,840.051
ET,KE,1058.8665,22.2108,1.7918,-6.6943,-748.602,748.602
IN,TR,4631.1706,22.3143,2.4849,-6.653,-9078.2214,9078.2214
IN,IQ,3747.2731,21.9784,1.0986,-6.6067,-2900.2128,2900.2128
ET,UG,1252.8972,21.7189,0,-6.5769,91.449,91.449
TR,IQ,990.1461,21.8276,0.69315,-6.5407,6178.0086,6178.0086
TR,UA,1096.7201,21.8135,0.69315,-6.5266,8601.8813,8601.8813
IN,YE,3261.8617,21.9567,1.3863,-6.5249,719.0531,719.0531
IN,NG,7611.3287,22.1705,2.7081,-6.4624,-468.5972,468.5972
CN,EG,6882.796,21.7474,0.69315,-6.4605,4608.6908,4608.6908
RO,UA,541.0827,21.8315,1.0986,-6.4599,7288.4026,7288.4026
DO,HT,224.8838,21.5492,0,-6.4072,5982.6281,5982.6281
KZ,IN,3234.9418,21.5351,0,-6.393,5800.6893,5800.6893
TZ,UG,907.949,21.7517,1.0986,-6.3801,263.885,263.885
MX,US,1632.527,23.4617,9.3643,-6.3626,-49265.4809,49265.4809
DE,CN,7223.8879,21.5044,0,-6.3624,33812.8777,33812.8777
MY,IN,3084.1183,22.1915,3.2958,-6.3607,7793.1805,7793.1805
PH,VN,1465.1591,22.2188,3.4657,-6.3524,765.3816,765.3816
SA,IN,3498.3899,21.9738,2.3026,-6.3505,18319.2603,18319.2603
KR,IN,5016.711,21.7151,1.0986,-6.3435,25829.4182,25829.4182
IL,JO,142.0032,22.1115,2.9957,-6.3434,33204.6747,33204.6747
IN,PH,4625.2475,22.5788,5.2679,-6.3358,-1241.684,1241.684
ID,TH,2333.9659,21.9175,2.1972,-6.3162,-2337.6185,2337.6185
JP,IN,5959.3042,22.2783,3.9318,-6.3145,37185.0798,37185.0798
MM,VN,1567.4486,21.4141,0,-6.2721,-910.6727,910.6727
CN,NG,9908.8561,21.6832,1.3863,-6.2514,5945.1957,5945.1957
RW,UG,455.9965,21.5895,1.0986,-6.2178,87.5268,87.5268
MY,ID,1438.9999,22.0926,3.5553,-6.2075,5932.2735,5932.2735
CN,TR,5949.8735,21.8536,2.4849,-6.1922,-2664.4285,2664.4285
IQ,EG,1427.9224,21.2805,0,-6.1385,1095.1106,1095.1106
BJ,GH,397.0514,21.3887,0.69315,-6.1018,-724.0206,724.0206
TH,LA,470.9119,21.4646,1.0986,-6.0929,3554.7606,3554.7606
IN,UA,5238.2412,21.4988,1.3863,-6.0671,-476.3401,476.3401
IN,CD,6810.5744,21.5332,1.7918,-6.0167,1264.8826,1264.8826
IN,TZ,5670.6009,21.5511,1.9459,-6.0024,830.1941,830.1941
CN,MN,1223.5798,21.7485,2.9444,-5.9911,4436.7292,4436.7292
GB,CN,7779.5601,21.1255,0,-5.9835,31776.2075,31776.2075
IN,LA,2454.6204,21.1189,0,-5.9768,-643.765,643.765
MY,CN,3526.806,21.9636,4.0775,-5.9694,1379.3875,1379.3875
CN,US,11647.2638,21.9123,3.912,-5.9526,-49343.6062,49343.6062
FR,CN,8021.9943,21.0831,0,-5.9411,28731.7874,28731.7874
VE,CO,877.5881,21.4135,1.6094,-5.9351,3452.3947,3452.3947
EG,JO,675.3322,21.4083,1.6094,-5.9299,-573.4474,573.4474
PL,UA,941.1089,21.3799,1.6094,-5.9015,10186.689,10186.689
CN,IQ,5460.3837,21.2657,1.0986,-5.8941,3513.5802,3513.5802
CN,KH,2591.623,21.8974,4.1589,-5.8862,6853.2736,6853.2736
NG,TG,864.0537,21.3624,1.6094,-5.884,1599.5235,1599.5235
GT,SV,263.6335,21.1379,0.69315,-5.851,-76.8405,76.8405
IN,TJ,2160.4084,21.6308,3.2958,-5.7999,913.5441,913.5441
PK,TJ,959.8981,21.3284,1.9459,-5.7797,672.3491,672.3491
TZ,RW,742.7508,20.906,0,-5.7639,176.3582,176.3582
BD,PH,3517.8883,21.0311,0.69315,-5.7442,-1592.2922,1592.2922
LB,TR,570.7868,21.1058,1.0986,-5.7341,-2873.6047,2873.6047
GN,SL,282.0485,20.8652,0,-5.7231,12.0956,12.0956
RU,PK,4334.2356,21.1184,1.3863,-5.6866,7280.1716,7280.1716
ZA,IN,8255.0304,20.8061,0,-5.6641,3564.206,3564.206
IN,KH,2909.3266,21.6258,3.9512,-5.658,439.4807,439.4807
PK,IQ,2439.923,20.9117,0.69315,-5.6248,-3141.4077,3141.4077
CN,BR,16632.8538,20.7575,0,-5.6154,-526.7676,526.7676
NG,UG,2749.772,20.7436,0,-5.6015,1562.6764,1562.6764
EG,NG,3050.3652,21.3718,3.0445,-5.5934,1336.5049,1336.5049
TH,KH,566.2909,21.9426,5.8171,-5.5847,4638.0062,4638.0062
IN,KG,2325.7435,21.1214,2.0794,-5.5448,632.3517,632.3517
IN,KE,5016.1669,21.6595,4.7095,-5.5332,254.0282,254.0282
MY,VN,1294.7576,21.2683,2.9957,-5.5001,7316.8781,7316.8781
IN,MG,5601.7748,20.7725,0.69315,-5.4856,1308.0691,1308.0691
TZ,NG,3375.0977,20.626,0,-5.484,-1298.7914,1298.7914
IT,IN,6569.0337,21.3436,3.4657,-5.4772,28817.8803,28817.8803
AR,CL,766.298,21.0139,1.9459,-5.4652,-1343.7092,1343.7092
IN,UG,5494.7877,21.3219,3.434,-5.4621,1094.0791,1094.0791
PL,IN,6165.6743,21.0023,1.9459,-5.4535,10663.0291,10663.0291
CN,YE,5929.3515,20.8018,1.0986,-5.4301,7132.8461,7132.8461
TR,JO,936.0592,20.5702,0,-5.4282,6699.6718,6699.6718
TR,PK,3240.1788,21.1039,2.5649,-5.4258,9319.4164,9319.4164
TZ,MZ,1369.0871,20.5663,0,-5.4243,497.1245,497.1245
SA,EG,1470.3139,21.08,2.4849,-5.4186,16514.1581,16514.1581
ID,PK,5847.7371,21.1121,2.6391,-5.4185,2102.1019,2102.1019
GT,HN,432.3137,20.5108,0,-5.3687,1785.5865,1785.5865
IT,TR,1940.8344,20.9695,2.1972,-5.3682,19739.6589,19739.6589
BF,ML,648.0306,20.4989,0,-5.3568,-130.7766,130.7766
CN,KG,2614.422,20.9277,2.0794,-5.3511,7046.1447,7046.1447
CA,US,2261.5356,21.5529,5.0938,-5.3463,-15308.8591,15308.8591
RU,ID,6967.4498,20.4702,0,-5.3281,5178.0696,5178.0696
IL,TR,881.1271,20.5901,0.69315,-5.3032,26505.0029,26505.0029
AE,IN,2604.8833,21.316,4.1897,-5.2983,35912.8195,35912.8195
SA,IQ,1047.181,20.814,1.7918,-5.2975,15419.0475,15419.0475
VN,PK,4369.9516,20.6591,1.0986,-5.2875,717.4973,717.4973
RO,MD,306.6646,20.4279,0,-5.2859,7573.9291,7573.9291
BR,IN,14775.3062,20.954,2.5649,-5.2759,6940.5606,6940.5606
DE,IN,6752.1876,21.5991,5.6768,-5.2707,40226.6707,40226.6707
EG,PK,3765.7118,20.9885,2.7726,-5.267,2046.2972,2046.2972
MA,NG,3003.902,20.4046,0,-5.2626,654.4446,654.4446
IN,AZ,3681.3848,20.676,1.3863,-5.2442,-2167.5485,2167.5485
OM,IN,2390.9166,20.7479,1.7918,-5.2314,13272.97,13272.97
UZ,TJ,633.7692,20.356,0,-5.2139,1314.804,1314.804
IN,MZ,6437.843,20.6411,1.3863,-5.2093,1327.3186,1327.3186
CO,EC,832.5832,20.863,2.4849,-5.2017,-163.3788,163.3788
TW,IN,4323.9998,21.2344,4.2905,-5.1956,20888.6121,20888.6121
IT,EG,2357.3864,20.7658,2.0794,-5.1892,27012.7781,27012.7781
SY,LB,306.4867,20.8875,2.7081,-5.1795,-6213.6147,6213.6147
DE,UA,1514.0558,21.2075,4.3307,-5.1604,39750.3305,39750.3305
MA,IN,8463.1647,20.2958,0,-5.1538,1123.0419,1123.0419
TR,NG,4246.3864,20.525,1.0986,-5.1533,8609.6242,8609.6242
EG,UA,2397.4444,20.4346,0.69315,-5.1477,1328.7621,1328.7621
CN,MX,12826.3463,20.7898,2.3979,-5.1466,-78.1254,78.1254
CN,TJ,2912.6339,21.0736,3.7612,-5.1455,7327.337,7327.337
CN,TZ,8596.804,20.7593,2.3026,-5.136,7243.9871,7243.9871
CN,CD,9592.1866,20.8886,2.9444,-5.1312,7678.6756,7678.6756
BF,TG,479.5813,20.2398,0,-5.0978,71.2688,71.2688
ZM,MW,698.6211,20.2371,0,-5.0951,877.5931,877.5931
IT,UA,1622.9436,20.7581,2.5649,-5.08,28341.5402,28341.5402
MY,TH,1300.9277,20.9615,3.5553,-5.0764,3594.655,3594.655
KG,PK,1298.8996,20.3617,0.69315,-5.0748,-391.1568,391.1568
BR,BO,1271.6351,21.0584,4.1109,-5.0572,5544.9924,5544.9924
RU,US,8886.0848,20.1968,0,-5.0547,-48718.4226,48718.4226
IR,YE,1947.771,20.1849,0,-5.0428,3967.2452,3967.2452
FR,IN,7368.9012,21.2127,4.9488,-5.0363,35145.5804,35145.5804
AO,IN,7554.4389,20.3206,0.69315,-5.0337,1401.4203,1401.4203
DE,TR,2354.7093,20.8934,3.4965,-5.0206,31148.4492,31148.4492
SA,TR,1915.8887,20.3654,1.0986,-4.9937,9241.0389,9241.0389
PK,YE,2686.4801,20.42,1.3863,-4.9883,477.8582,477.8582
ID,KH,1782.2295,20.9824,4.0775,-4.9881,2300.3877,2300.3877
JP,ID,4821.6231,21.0784,4.5433,-4.9868,35324.1728,35324.1728
BG,UA,767.4003,20.1158,0,-4.9737,5165.0678,5165.0678
EG,YE,2218.8754,20.0999,0,-4.9578,2524.1553,2524.1553
UA,PK,3787.2912,20.2227,0.69315,-4.9358,717.5351,717.5351
ES,IN,7941.6493,20.6981,2.9957,-4.9299,24819.1039,24819.1039
IQ,AZ,844.0734,20.0494,0,-4.9074,732.6643,732.6643
HN,NI,282.5691,20.3693,1.6094,-4.8909,209.7756,209.7756
EG,UG,2834.058,20.0186,0,-4.8765,2899.1813,2899.1813
KE,RW,918.0603,20.3453,1.6094,-4.8669,752.5242,752.5242
CN,ZA,11237.0448,20.2297,1.0986,-4.858,2849.587,2849.587
SG,ID,1148.1175,20.8283,3.989,-4.8526,49390.4193,49390.4193
AU,CN,7474.3544,20.2048,1.0986,-4.8331,41804.6386,41804.6386
TH,PH,2261.9507,21.053,5.1591,-4.8327,2956.8415,2956.8415
IN,MW,6163.3105,20.2623,1.3863,-4.8305,1408.5931,1408.5931
HN,SV,325.7322,20.1162,0.69315,-4.8293,-1862.427,1862.427
IN,CM,7290.2548,20.1854,1.0986,-4.8137,676.7392,676.7392
SA,YE,993.8487,20.6194,3.1781,-4.8132,19038.3134,19038.3134
KR,ID,4325.1626,20.3882,2.0794,-4.8116,23968.5112,23968.5112
GT,MX,1556.1385,20.5879,3.0445,-4.8095,-4054.5621,4054.5621
TW,PH,1205.9668,21.2375,6.1841,-4.803,19646.9281,19646.9281
BR,US,7316.9188,20.949,4.8442,-4.7946,-48816.8386,48816.8386
SY,JO,535.1867,20.2264,1.3863,-4.7946,-2387.5475,2387.5475
ZM,MZ,1025.7746,19.9349,0,-4.7928,796.3186,796.3186
KE,NG,3391.1385,20.4796,2.6391,-4.786,-722.6254,722.6254
CN,KE,7894.2816,20.7929,4.1431,-4.7849,6667.8211,6667.8211
MM,PH,2912.4127,20.2835,1.7918,-4.767,-1676.0543,1676.0543
BR,CO,3234.2141,20.6885,3.7842,-4.7556,2844.3432,2844.3432
ZA,CD,2951.6101,20.0406,0.69315,-4.7537,4829.0886,4829.0886
CN,UG,8294.3093,20.5386,3.091,-4.7506,7507.8721,7507.8721
DZ,ML,1299.3298,19.8858,0,-4.7438,3063.2452,3063.2452
TR,AZ,1064.6392,20.3447,2.1972,-4.7434,6910.6729,6910.6729
NG,SN,2586.702,19.8756,0,-4.7335,1219.9114,1219.9114
BR,PY,1231.8276,20.6403,3.6636,-4.7325,4569.7438,4569.7438
GR,IN,5779.1098,19.8702,0,-4.7281,16394.5814,16394.5814
HU,UA,881.1149,20.1596,1.3863,-4.7278,10479.1194,10479.1194
JO,LB,365.2749,19.8692,0,-4.7272,-3826.0672,3826.0672
ZM,IN,6727.7146,20.0005,0.69315,-4.7136,-531,531
IN,JO,4398.6743,20.2881,2.0794,-4.7114,-2378.5496,2378.5496
IN,MX,15094.3971,20.4238,2.7726,-4.7023,-6491.9183,6491.9183
GB,IN,7662.6494,21.1155,6.107,-4.6971,38190.0005,38190.0005
KW,IQ,565.3916,19.9717,0.69315,-4.6848,24365.7993,24365.7993
GH,ML,1117.5456,19.8229,0,-4.6808,732.9539,732.9539
BR,NG,7168.3206,20.4377,2.9957,-4.6696,6471.9633,6471.9633
EC,PE,890.1295,20.3033,2.3979,-4.6601,-76.6659,76.6659
EG,LB,920.2866,20.3356,2.5649,-4.6575,-4399.5146,4399.5146
AF,TJ,633.4212,20.4416,3.091,-4.6535,-234.0651,234.0651
IR,ID,7304.7174,19.7889,0,-4.6469,1387.2851,1387.2851
CO,PE,1532.202,20.3055,2.4849,-4.6441,-240.0447,240.0447
BR,CL,3084.1933,19.7841,0,-4.6421,-5142.9776,5142.9776
IN,BI,5972.5767,19.7834,0,-4.6413,1423.6605,1423.6605
KW,IN,3306.6912,20.0115,1.0986,-4.6399,27266.0121,27266.0121
IN,US,13576.6693,21.5654,8.5352,-4.6395,-55757.3992,55757.3992
CN,AZ,4899.7788,20.1445,1.7918,-4.628,4246.2444,4246.2444
EG,TZ,3716.6721,19.7686,0,-4.6266,2635.2963,2635.2963
IT,BG,1065.6677,19.7566,0,-4.6146,23176.4724,23176.4724
TZ,ZW,1537.0462,19.7554,0,-4.6134,-129.4035,129.4035
BR,PE,2574.2539,20.7189,4.625,-4.6102,2604.2984,2604.2984
TW,ID,2827.0499,20.4607,3.4012,-4.6078,19027.7051,19027.7051
SY,PK,2874.3268,19.8816,0.69315,-4.5947,232.1971,232.1971
TR,GE,778.9809,20.0045,1.3863,-4.5727,6933.9594,6933.9594
NL,CN,7486.3988,19.8525,0.69315,-4.5656,37171.5991,37171.5991
FR,TR,2798.8674,20.3361,3.0445,-4.5578,26067.3589,26067.3589
PH,PK,5701.9858,20.2355,2.5649,-4.5573,1482.879,1482.879
ZA,NG,4663.5288,19.9854,1.3863,-4.5536,3095.6087,3095.6087
ZA,ZW,1428.0789,19.9085,1.0986,-4.5369,4264.9965,4264.9965
IT,NG,3665.9773,20.5473,4.1897,-4.5296,28349.283,28349.283
IN,ZW,6987.0272,19.8979,1.0986,-4.5262,700.7906,700.7906
CA,CN,9385.8584,20.1574,2.3979,-4.5142,34034.7471,34034.7471
RU,VN,5283.271,19.988,1.6094,-4.5096,6562.6742,6562.6742
IL,IN,4534.4408,20.1262,2.3026,-4.503,35583.2243,35583.2243
CN,MZ,9421.6003,19.9198,1.3863,-4.488,7741.1115,7741.1115
CN,MG,8556.5723,19.9656,1.6094,-4.4872,7721.862,7721.862
SA,PK,2501.598,20.7197,5.2204,-4.4866,18560.4553,18560.4553
TW,VN,1709.7418,20.4309,3.8501,-4.4842,20412.3097,20412.3097
TH,PK,3598.0482,20.7506,5.4205,-4.4757,4439.7205,4439.7205
DE,EG,3204.5153,20.4623,4.0431,-4.4753,38421.5685,38421.5685
HU,TR,1565.6613,19.579,0,-4.437,1877.2381,1877.2381
SG,IN,3443.6506,20.2551,3.2581,-4.4321,51251.3263,51251.3263
EG,KE,3080.1746,20.0074,2.0794,-4.4308,2059.1303,2059.1303
NG,RW,2649.3987,19.5705,0,-4.4285,1475.1496,1475.1496
JP,PH,3072.2945,21.0526,7.1333,-4.4197,35943.3958,35943.3958
BR,MX,6928.2862,20.1286,2.8332,-4.3944,448.6422,448.6422
CN,MW,9132.8743,19.5161,0,-4.374,7822.386,7822.386
KE,PK,4739.0249,19.8484,1.6094,-4.3699,-12.8332,12.8332
SK,UA,844.2695,19.6525,0.69315,-4.3656,14310.2596,14310.2596
ES,NG,3699.1294,20.2633,3.6376,-4.361,24350.5066,24350.5066
IL,IQ,865.421,19.8666,1.7918,-4.35,32683.0115,32683.0115
SE,CN,6378.5635,19.6313,0.69315,-4.3444,43476.688,43476.688
LR,SL,343.8431,19.4807,0,-4.3386,-40.6787,40.6787
MW,KE,1523.8707,19.7492,1.3863,-4.3174,-1154.5649,1154.5649
HU,IN,6055.0899,19.6865,1.0986,-4.3148,10955.4595,10955.4595
BD,IQ,4645.703,19.4535,0,-4.3114,-3250.8209,3250.8209
KR,PH,2629.993,20.456,4.8203,-4.3065,24587.7342,24587.7342
JP,VN,3865.43,20.4849,5.0689,-4.2834,36708.7775,36708.7775
GH,CD,2856.9418,19.4217,0,-4.2796,1068.9557,1068.9557
DE,BG,1472.051,19.421,0,-4.279,34585.2628,34585.2628
IT,AL,637.6924,19.876,2.1972,-4.2748,26380.372,26380.372
ES,EG,3510.1578,19.7035,1.3863,-4.2718,23014.0017,23014.0017
IN,BF,8560.6085,19.6354,1.0986,-4.2637,1059.6574,1059.6574
TZ,PK,5492.0774,19.6903,1.3863,-4.2585,-588.9991,588.9991
AO,UG,2120.318,19.3986,0,-4.2566,2495.4994,2495.4994
JP,US,10150.4363,19.8027,1.9459,-4.2539,-18572.3194,18572.3194
ZA,MZ,1832.7203,19.989,2.8904,-4.2429,4891.5246,4891.5246
RU,NG,9469.9443,19.5171,0.69315,-4.2302,6570.3793,6570.3793
ID,LA,2611.7792,19.3712,0,-4.2291,1217.142,1217.142
RU,PH,5568.8327,19.9912,2.9957,-4.223,5797.2926,5797.2926
TH,NP,2222.0013,19.8175,2.1972,-4.2163,5178.3809,5178.3809
KR,VN,3110.7732,20.0118,3.1355,-4.2144,25353.1158,25353.1158
EG,AF,3607.5162,19.356,0,-4.214,2952.7114,2952.7114
KG,TJ,395.1412,19.6453,1.3863,-4.2135,281.1923,281.1923
IN,RW,5901.6066,19.9316,2.7726,-4.2101,1006.5523,1006.5523
ID,NG,11695.2542,19.6878,1.6094,-4.2094,1392.3097,1392.3097
IN,GE,4104.2146,19.4936,0.69315,-4.2066,-2144.262,2144.262
TR,CD,4978.1283,19.3474,0,-4.2054,10343.104,10343.104
IR,NG,5296.5593,20.0926,3.5835,-4.2016,2779.5948,2779.5948
IQ,YE,2024.2422,19.3387,0,-4.1967,3619.2659,3619.2659
ET,CM,3101.5298,19.335,0,-4.193,-325.891,325.891
MA,ML,1611.6992,19.3142,0,-4.1722,2051.9227,2051.9227
IL,LB,326.3846,19.9933,3.2958,-4.1625,29378.6075,29378.6075
KH,PH,1820.3847,20.0129,3.4012,-4.16,-1681.1647,1681.1647
IN,GH,8660.6405,20.026,3.4657,-4.1597,195.9269,195.9269
MW,UG,1641.5746,19.445,0.69315,-4.1581,-314.514,314.514
FR,EG,3311.7629,20.1848,4.2341,-4.1578,33340.4782,33340.4782
FR,NG,4175.9762,20.3856,5.2417,-4.1481,34676.9831,34676.9831
MW,NG,3764.8009,19.2853,0,-4.1432,-1877.1903,1877.1903
FR,UA,2182.9504,20.2641,4.6913,-4.1415,34669.2403,34669.2403
IN,LB,4472.349,19.8011,2.4849,-4.1397,-6204.6168,6204.6168
BG,IN,5517.1466,19.5523,1.3863,-4.1206,5641.4079,5641.4079
ID,NP,4539.0144,19.7218,2.1972,-4.1205,2840.7624,2840.7624
KE,YE,2087.4345,19.5417,1.3863,-4.1099,465.025,465.025
NI,SV,412.3141,19.2515,0,-4.1095,-2072.2025,2072.2025
CZ,UA,1151.4799,19.6974,2.1972,-4.0961,16080.8217,16080.8217
CO,MX,3696.5616,19.9339,3.3673,-4.0881,-2395.7009,2395.7009
TR,YE,2907.3881,19.3742,0.69315,-4.0872,9797.2746,9797.2746
ES,TR,3312.2398,19.6344,1.9459,-4.0857,15740.8824,15740.8824
CN,CM,9693.1408,19.656,2.0794,-4.0793,7090.5322,7090.5322
VE,MX,4290.2639,19.2034,0,-4.0613,1056.6937,1056.6937
CN,JO,6221.3048,19.6351,2.0794,-4.0584,4035.2434,4035.2434
JP,MM,4366.6421,19.6798,2.3026,-4.0565,37619.4501,37619.4501
CZ,TR,1970.708,19.1919,0,-4.0498,7478.9403,7478.9403
IR,VN,5870.3569,19.1905,0,-4.0485,2771.8897,2771.8897
AE,PK,1717.8448,20.2239,4.9904,-4.0388,36154.0145,36154.0145
KE,MZ,2089.0922,19.5842,1.9459,-4.0355,1073.2904,1073.2904
TZ,ZA,2965.118,19.6831,2.4849,-4.0217,-4394.4001,4394.4001
GB,US,6830.4035,19.9349,3.7136,-4.0168,-17567.3987,17567.3987
TR,AM,848.7008,19.5928,2.0794,-4.0161,7181.4573,7181.4573
PA,CO,841.157,19.441,1.3863,-4.0092,7874.6307,7874.6307
MW,MG,1475.7228,19.1473,0,-4.0053,-100.524,100.524
ID,AF,6171.679,19.286,0.69315,-3.9991,3008.5161,3008.5161
ZW,NG,3847.2709,19.1284,0,-3.9864,-1169.3878,1169.3878
BG,EG,1833.87,19.1278,0,-3.9857,3836.3057,3836.3057
CM,BJ,1125.2138,19.1202,0,-3.9781,243.2083,243.2083
JP,PK,6303.3743,20.2412,5.3753,-3.9758,37426.2748,37426.2748
ZA,ZM,2002.1141,19.2597,0.69315,-3.9728,4095.206,4095.206
CH,CN,7596.185,19.114,0,-3.9719,70689.4698,70689.4698
ZA,MW,2249.6625,19.1131,0,-3.9711,4972.7991,4972.7991
IR,TZ,4750.7764,19.1021,0,-3.96,4078.3862,4078.3862
KE,MG,2302.4242,19.243,0.69315,-3.9561,1054.0409,1054.0409
DE,NG,4682.3207,20.3684,6.0822,-3.9552,39758.0734,39758.0734
IN,MN,3685.3586,19.503,1.9459,-3.9543,-1977.0638,1977.0638
EG,ID,9364.9172,19.4676,1.7918,-3.9511,-55.8048,55.8048
DE,BA,970.6629,19.5474,2.1972,-3.9462,37227.3403,37227.3403
CN,GH,10836.2451,19.6181,2.5649,-3.94,6609.7198,6609.7198
MY,KH,986.3835,20.0406,4.625,-3.9319,8232.6612,8232.6612
GB,TR,3382.4578,19.9384,4.1431,-3.9304,29111.7791,29111.7791
IR,US,11657.8943,19.0671,0,-3.925,-52509.2071,52509.2071
RO,NG,4383.2209,19.0665,0,-3.9245,7296.1454,7296.1454
ZM,KE,1831.2994,19.2951,1.0986,-3.9235,-276.9719,276.9719
CZ,IN,6385.9863,19.6531,2.8332,-3.9189,16557.1618,16557.1618
FR,US,7665.5841,19.7232,3.1781,-3.917,-20611.8188,20611.8188
PL,NG,4857.5718,19.5163,2.1972,-3.9151,10194.4319,10194.4319
RO,PK,4182.0885,19.1985,0.69315,-3.9116,8005.9377,8005.9377
PL,PK,4712.9628,19.6148,2.7081,-3.9068,10904.2241,10904.2241
TZ,YE,2862.6491,19.0469,0,-3.9049,-111.141,111.141
CN,ZM,9668.5257,19.3155,1.3863,-3.8837,6944.793,6944.793
IQ,AM,770.7935,19.0258,0,-3.8837,1003.4486,1003.4486
JO,PK,3161.009,19.0241,0,-3.8821,2619.7446,2619.7446
CN,BF,10587.434,19.2507,1.0986,-3.879,7473.4504,7473.4504
KR,PK,5394.0931,19.6453,3.0445,-3.8669,26070.6132,26070.6132
DE,US,7861.4702,19.8844,4.1897,-3.8668,-15530.7285,15530.7285
PL,US,8279.7329,19.0022,0,-3.8601,-45094.37,45094.37
CU,MX,2551.0203,19.2312,1.0986,-3.8596,-599.0463,599.0463
RU,MX,10222.4776,18.987,0,-3.8449,547.0583,547.0583
GT,NI,630.9671,19.3613,1.7918,-3.8448,1995.3621,1995.3621
BD,KE,6236.4551,19.1289,0.69315,-3.842,-96.58,96.58
AR,US,9017.6812,18.9759,0,-3.8339,-45017.5703,45017.5703
EG,GH,3955.8091,18.9658,0,-3.8238,2001.0291,2001.0291
PL,IQ,2864.0081,18.9637,0,-3.8216,7762.8164,7762.8164
MX,HN,1948.3446,19.5397,2.7726,-3.8182,5840.1486,5840.1486
BR,EG,10016.7915,19.104,0.69315,-3.817,5135.4584,5135.4584
MY,MM,2072.7553,19.7659,3.8712,-3.8148,8227.5508,8227.5508
IT,IQ,2887.6731,19.4153,2.1972,-3.814,25917.6675,25917.6675
SK,IN,6065.0036,19.0907,0.69315,-3.8038,14786.5998,14786.5998
MY,PH,2378.6469,20.1603,5.826,-3.8006,6551.4965,6551.4965
SY,NG,4204.7003,19.0828,0.69315,-3.7959,-477.5952,477.5952
ID,TR,9087.0937,19.3427,1.9459,-3.7939,-7217.3145,7217.3145
SA,NG,4198.4371,19.6461,3.4012,-3.7932,17850.663,17850.663
ET,US,13143.5708,19.0706,0.69315,-3.7837,-56760.0294,56760.0294
KR,MM,3443.525,19.2473,1.6094,-3.7689,26263.7885,26263.7885
RU,UA,4665.9196,19.5139,2.8904,-3.7678,6562.6365,6562.6365
SA,UA,2985.6172,18.909,0,-3.7669,17842.9202,17842.9202
IN,ML,8623.2423,19.5852,3.2581,-3.7622,928.8808,928.8808
EG,AZ,2141.0732,19.1325,1.0986,-3.7609,-362.4463,362.4463
CN,BI,8823.5404,19.0432,0.69315,-3.7563,7837.4534,7837.4534
BO,PE,1468.5485,18.8933,0,-3.7512,-2940.694,2940.694
ZA,MG,2742.0445,19.0365,0.69315,-3.7496,4872.275,4872.275
DK,CN,7031.2883,18.8896,0,-3.7475,45294.4834,45294.4834
